                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.68858,                0.98314,                 1.0044,                0.99686,                      1,                  0.995,                0.88435,                0.56722,                0.70358,                0.84911,             0.00040626,             0.00040626,             0.00040626
                     76,                0.70042,                0.77689,                 1.0051,                0.99686,                      1,                  0.995,                0.88435,                0.56722,                0.70358,                0.84911,             0.00040531,             0.00040531,             0.00040531
                     77,                0.62653,                 0.7295,                0.94535,                0.99657,                      1,                  0.995,                0.88275,                0.56396,                0.67148,                0.84562,             0.00040437,             0.00040437,             0.00040437
                     78,                0.68666,                  0.811,                0.98947,                0.99558,                      1,                  0.995,                0.87975,                0.55536,                0.63101,                 0.8483,             0.00040343,             0.00040343,             0.00040343
                     79,                0.59684,                0.69452,                0.91987,                 0.9947,                      1,                  0.995,                0.88256,                0.54895,                0.61781,                0.85102,             0.00040249,             0.00040249,             0.00040249
                     80,                0.64353,                0.70359,                0.97675,                 0.9947,                      1,                  0.995,                0.88256,                0.54895,                0.61781,                0.85102,             0.00040154,             0.00040154,             0.00040154
                     81,                0.65349,                 0.7648,                0.94246,                0.99362,                      1,                  0.995,                0.87857,                0.55345,                0.62415,                0.85888,              0.0004006,              0.0004006,              0.0004006
                     82,                 0.7126,                0.73689,                 0.9967,                0.99257,                      1,                  0.995,                0.87206,                0.57019,                0.65053,                0.87044,             0.00039966,             0.00039966,             0.00039966
                     83,                0.71587,                0.81005,                 1.0419,                0.99243,                      1,                  0.995,                0.87243,                0.55613,                0.65119,                0.86256,             0.00039872,             0.00039872,             0.00039872
                     84,                0.66453,                0.76112,                0.96999,                0.99243,                      1,                  0.995,                0.87243,                0.55613,                0.65119,                0.86256,             0.00039777,             0.00039777,             0.00039777
                     85,                0.66904,                0.72992,                 0.9693,                0.99305,                      1,                  0.995,                0.87648,                0.54441,                0.63651,                0.84628,             0.00039683,             0.00039683,             0.00039683
                     86,                0.66742,                0.72099,                 0.9839,                 0.9945,                      1,                  0.995,                0.89467,                0.52771,                0.61151,                0.83449,             0.00039589,             0.00039589,             0.00039589
                     87,                0.66393,                0.80065,                 1.0178,                0.99618,                      1,                  0.995,                0.89287,                0.52052,                0.59788,                0.83471,             0.00039495,             0.00039495,             0.00039495
                     88,                0.65569,                0.77435,                0.98064,                0.99618,                      1,                  0.995,                0.89287,                0.52052,                0.59788,                0.83471,               0.000394,               0.000394,               0.000394
                     89,                0.67083,                0.70224,                0.96673,                0.99752,                      1,                  0.995,                0.89526,                0.53114,                0.60067,                0.84658,             0.00039306,             0.00039306,             0.00039306
                     90,                0.65216,                0.71623,                0.99711,                0.99624,                      1,                  0.995,                0.87903,                0.57877,                0.61718,                0.87263,             0.00039212,             0.00039212,             0.00039212
                     91,                0.59215,                0.73578,                0.94138,                0.99521,                      1,                  0.995,                0.87284,                0.58306,                 0.6216,                0.87018,             0.00039118,             0.00039118,             0.00039118
                     92,                0.61126,                 0.7338,                0.95329,                0.99521,                      1,                  0.995,                0.87284,                0.58306,                 0.6216,                0.87018,             0.00039023,             0.00039023,             0.00039023
                     93,                0.62991,                0.66276,                0.97174,                 0.9956,                      1,                  0.995,                0.88527,                0.57698,                0.61736,                0.86265,             0.00038929,             0.00038929,             0.00038929
                     94,                 0.7244,                 0.7434,                 1.0187,                0.99666,                      1,                  0.995,                 0.8896,                0.55933,                0.59904,                 0.8552,             0.00038835,             0.00038835,             0.00038835
                     95,                0.62469,                 0.7335,                0.98422,                0.99724,                      1,                  0.995,                0.88655,                0.55295,                 0.5901,                0.84983,             0.00038741,             0.00038741,             0.00038741
                     96,                0.70123,                0.74118,                 1.0057,                0.99724,                      1,                  0.995,                0.88655,                0.55295,                 0.5901,                0.84983,             0.00038646,             0.00038646,             0.00038646
                     97,                0.65263,                0.76146,                0.95729,                 0.9958,                      1,                  0.995,                0.88637,                0.57763,                0.60719,                0.85788,             0.00038552,             0.00038552,             0.00038552
                     98,                0.64451,                0.73186,                0.96842,                0.99375,                      1,                  0.995,                0.86762,                0.60253,                 0.6591,                0.87025,             0.00038458,             0.00038458,             0.00038458
                     99,                0.76238,                0.82596,                 1.0274,                0.99096,                      1,                  0.995,                 0.8796,                0.60147,                0.69378,                  0.874,             0.00038364,             0.00038364,             0.00038364
                    100,                0.70398,                0.77554,                0.97973,                0.99096,                      1,                  0.995,                 0.8796,                0.60147,                0.69378,                  0.874,             0.00038269,             0.00038269,             0.00038269
                    101,                0.63604,                0.70724,                0.96072,                0.98703,                      1,                  0.995,                0.88661,                  0.597,                0.70159,                0.87464,             0.00038175,             0.00038175,             0.00038175
                    102,                 0.6455,                0.80637,                0.98412,                0.98723,                      1,                  0.995,                0.87515,                 0.6099,                0.63929,                0.87537,             0.00038081,             0.00038081,             0.00038081
                    103,                0.66231,                0.74908,                 1.0285,                0.99223,                      1,                  0.995,                0.87172,                0.61144,                0.60497,                0.87332,             0.00037987,             0.00037987,             0.00037987
                    104,                0.61591,                0.68242,                0.95526,                0.99223,                      1,                  0.995,                0.87172,                0.61144,                0.60497,                0.87332,             0.00037892,             0.00037892,             0.00037892
                    105,                0.65985,                0.76979,                0.96733,                0.99575,                      1,                  0.995,                0.88582,                0.58924,                0.60982,                0.86273,             0.00037798,             0.00037798,             0.00037798
                    106,                0.69621,                0.85678,                 1.0519,                 0.9974,                      1,                  0.995,                0.89909,                0.54454,                0.60512,                0.84622,             0.00037704,             0.00037704,             0.00037704
                    107,                0.66758,                0.80527,                0.98261,                0.99662,                      1,                  0.995,                0.91165,                0.51457,                0.59506,                0.83522,              0.0003761,              0.0003761,              0.0003761
                    108,                0.66131,                0.82056,                0.96233,                0.99662,                      1,                  0.995,                0.91165,                0.51457,                0.59506,                0.83522,             0.00037515,             0.00037515,             0.00037515
                    109,                0.59102,                0.73694,                0.95849,                 0.9966,                      1,                  0.995,                0.91507,                0.50796,                0.58388,                0.83183,             0.00037421,             0.00037421,             0.00037421
                    110,                0.65886,                0.72005,                0.98695,                0.99668,                      1,                  0.995,                0.91299,                0.50385,                0.56726,                0.83416,             0.00037327,             0.00037327,             0.00037327
                    111,                0.61254,                0.74154,                0.95714,                0.99665,                      1,                  0.995,                 0.9162,                0.49794,                0.55973,                0.84197,             0.00037233,             0.00037233,             0.00037233
                    112,                 0.6076,                0.65866,                0.96239,                0.99665,                      1,                  0.995,                 0.9162,                0.49794,                0.55973,                0.84197,             0.00037138,             0.00037138,             0.00037138
                    113,                0.67256,                0.79923,                 1.0043,                0.99672,                      1,                  0.995,                0.89083,                0.50145,                0.55489,                0.84479,             0.00037044,             0.00037044,             0.00037044
                    114,                0.54209,                0.65108,                0.93241,                0.99697,                      1,                  0.995,                0.87807,                 0.5151,                0.54593,                0.84559,              0.0003695,              0.0003695,              0.0003695
                    115,                0.62411,                0.65249,                0.96935,                0.99718,                      1,                  0.995,                0.88373,                0.52215,                0.53969,                0.84467,             0.00036856,             0.00036856,             0.00036856
                    116,                0.60019,                0.71743,                0.95199,                0.99718,                      1,                  0.995,                0.88373,                0.52215,                0.53969,                0.84467,             0.00036761,             0.00036761,             0.00036761
                    117,                0.58556,                0.63703,                0.94971,                0.99729,                      1,                  0.995,                0.88301,                0.53347,                0.54612,                0.84669,             0.00036667,             0.00036667,             0.00036667
                    118,                0.59943,                0.68061,                0.95486,                0.99637,                      1,                  0.995,                0.87867,                0.53751,                0.55844,                0.84928,             0.00036573,             0.00036573,             0.00036573
                    119,                0.63929,                0.60961,                0.93665,                 0.9951,                      1,                  0.995,                0.87675,                0.53474,                0.58182,                0.84503,             0.00036479,             0.00036479,             0.00036479
                    120,                0.57288,                0.64698,                0.91838,                 0.9951,                      1,                  0.995,                0.87675,                0.53474,                0.58182,                0.84503,             0.00036384,             0.00036384,             0.00036384
                    121,                0.63406,                0.67355,                0.97659,                0.99397,                      1,                  0.995,                0.86362,                0.54911,                0.63783,                 0.8444,              0.0003629,              0.0003629,              0.0003629
                    122,                0.61683,                0.70489,                0.94738,                0.99483,                      1,                  0.995,                0.87027,                0.55664,                0.65449,                0.84598,             0.00036196,             0.00036196,             0.00036196
                    123,                 0.7113,                0.76181,                 1.0135,                0.99656,                      1,                  0.995,                0.87972,                0.55446,                0.62809,                0.84465,             0.00036102,             0.00036102,             0.00036102
                    124,                0.65586,                0.73067,                0.98408,                0.99656,                      1,                  0.995,                0.87972,                0.55446,                0.62809,                0.84465,             0.00036007,             0.00036007,             0.00036007
                    125,                0.69686,                0.75941,                 0.9687,                0.99681,                      1,                  0.995,                0.88953,                0.53917,                0.58287,                0.83776,             0.00035913,             0.00035913,             0.00035913
                    126,                0.60903,                0.67088,                0.93929,                0.99588,                      1,                  0.995,                0.89153,                0.51328,                0.54755,                0.83201,             0.00035819,             0.00035819,             0.00035819
                    127,                 0.6182,                0.72939,                 0.9782,                0.99485,                      1,                  0.995,                0.88855,                0.49578,                0.53165,                0.82735,             0.00035725,             0.00035725,             0.00035725
                    128,                0.66235,                0.65984,                0.98156,                0.99485,                      1,                  0.995,                0.88855,                0.49578,                0.53165,                0.82735,             0.00035631,             0.00035631,             0.00035631
                    129,                0.64594,                0.67206,                0.99461,                0.99475,                      1,                  0.995,                0.90004,                0.49072,                0.51958,                0.82409,             0.00035536,             0.00035536,             0.00035536
                    130,                0.60454,                0.68926,                0.92702,                  0.995,                      1,                  0.995,                0.90004,                0.49912,                0.51874,                0.82632,             0.00035442,             0.00035442,             0.00035442
                    131,                0.69669,                0.80637,                0.97756,                0.99519,                      1,                  0.995,                0.89722,                0.51234,                0.52144,                0.83077,             0.00035348,             0.00035348,             0.00035348
